Question,Answer,,Question,Answer,,Question,Answer
"A treat for their customers,in 2011 pet food maker Friskies released three iPad games meant for what animals to play?",CATS,,Rich Riordan’s best-selling kids book feature Percy Jackson’s adventures with what “fantastic” group,THE OLYMPIANS,,"Inspired by the decor of the room where Nick Cannon proposed,in 2011 Mariah Carey named her baby boy what?",MOROCCAN
A truce enacted at the 11th hour of the 11th day of the 11th month of the year brought an end to combat in what war?,WORLD WAR I,,Rick Riordan’s bestselling kids’ books feature Percy Jackson’s adventures with what “fantastic” group?,THE OLYMPIANS,,"Inspired by the name of a large corporation, which of these terms refers to a large and pretentious house?",MCMANSION
A tune or song that becomes stuck in one’s head is slangily known as a what?,EARWORM,,"Ricky Gervais is the co-creator and star of the original,British version of what hit U.S. TV Show?",THE OFFICE,,"Inspired by the Scottish flag, the hero of the movie “Braveheart” wears what color paint?",BLUE
"A type of clay pottery, tera cotta takes its name from an Italian phrase meaning what?",BAKED EARTH,,"Riffing on Scorsese,the 90’s cartoon “Animaniacs” featured the “Goodfeathers,” three pigeons who were also what?",GANGSTERS,,"Inspired in part by a jazz legend,what did Sandra Bullock name her newly adopted baby boy in 2010?",LOUIS
"A type of clay pottery,terra cotta takes its name from an Italian phrase meaning what?",BAKED EARTH,,"Robert Kardasian, the biological father of Kourtney, Kim, Khloe, and Robert Jr, was a well-known what?",ATTORNEY,,"Inspiring a 2010 film,the 2005 economics bestseller by Stephen Levitt and Stephen Dubner has what unusual title?",FREAKONOMICS
"A type of fire-resistant material, Nomex is often worn by what sports stars?",NASCAR DRIVERS,,Ronald Reagan’s plainspoken and affable demeanor earned him the apt nickname “The Great” what?,COMMUNICATOR,,"Inspiring a character in a Robert Redford film,Buck Brannaman is known for his ability to “whisper” to what animals?",HORSES
"A type of molecule,cubane gets its name because its structure resembles a shape with how many sides?",6,,Ronald Reagan’s role in the 1940 movie “Knute Rockne: All American” earned him what nickname?,THE GIPPER,,"Instead of being aged until it has a stronger flavor,which of these cheeses is typically served fresh?",COTTAGE CHEESE
"A type of pesticide,molluscicides are designed to get rid of what slimy creatures?",SNAILS,,"Roughly 35 million men in the U.S. suffer from androgenetic alopecia,also known as “male pattern” what?",BALDNESS,,"Intended to resemble the aftershave, Aqua Velva is a cocktail that contains which of these liqueurs?",CURACAO
"A type of security measure, retinal scanning identifies people based on unique patterns in their what?",EYES,,"Roughly speaking,a typical commercial jet flying from New York to London cruises at what average airspeed?",550 MPH *CORRECT*,,"Introduced as a “ready-to-serve” drink in 1950, Hawaiian Punch’s original flavor is now called what?",FRUIT JUICY RED
"A type of thick-crusted, rectangular pizza is named after what region in Italy?",SICILY,,"Roz Doyle,a producer on the ’90s sitcom “Wings”,was the namesake for a character on what other sitcom?",FRASIER,,"Introduced by Apple in 1998,which of these tech gadgets was released the earliest?",IMAC
"A unicorn, a ram, and a triceratops have how many horns altogether?",SIX,,"Rumspringa, meaning “running around,” is a freewheeling rite of passage for teens in what community?",AMISH,,"Introduced by infomercial legend Ron Popeil,GLH Formula Number 9 offers a solution to what problem?",THINNING HAIR
A US President and an actress from the TV Series “Golden Girls” share what surname?,ARTHUR,,"Said by Sigmund Freud to determine personality,which of these is not one of his three “agencies” of the mind?",SUPERID,,"Introduced in 1559, the Vatican’s “Index Librorum Prohibitorum” is a list of what?",BANNED BOOKS
"A wandering technician repeatedly asked, “Can you hear me now?” in a series of ads for what company?",VERIZON WIRELESS,,"Said to be invented by British officers in India in the 1800s, snooker is a form of what game?",BILLIARDS,,"Introduced in 1898,what brand of soap was named for the two kinds of oil that were used to produce it?",PALMOLIVE
A Web site that no longer exists will often prompt the phrase “Not Found” and what code number?,404,,"Said to belong to Saint Peter, Vatican City’s official flag depicts two crossed what?",KEYS,,"Introduced in 1913, what popular childrens’ toy derives its name from the Roman god of love?",KEWPIE DOLLS
"A well-known aphrodisiac, the Spanish fly is not a fly, but rather a species of what insect?",BEETLE,,"Said to have been created by Ric Silver in 1976,the crowd-pleasing “Electric Slide” is what kind of dance?",LINE DANCE,,"Introduced in 1913, what popular toy derives its name from the Roman god of love?",KEWPIE DOLLS
A well-known term for a husband whose wife cheats on him is derived from which of these bird names?,CUCKOO,,"Said to have been ruled by Zeus,Mount Olympus is the highest mountain range in what country?",GREECE,,"Introduced in 1928, Red Stripe Beer is brewed in what country?",JAMAICA
A well-known term for a husband whose wife cheats on him is derived from which of these bird names?,CUCKOO,,"Said to have inspired the song “America The Beautiful,” Pikes Peak is part of what U.S. mountain range?",ROCKY,,"Introduced in 1963,the Easy-Bake Oven includes ingredients allowing kids to make miniature what?",CAKES
"A whetstone is an old-fashioned kitchen device with a hard, flat surface designed to do what?",SHARPEN KNIVES,,"Sampling a 1984 song and flipping the words in its title, Jay-Z had a top 40 hit in 2010 called what?",YOUNG FOREVER,,"Introduced in 1966,which of these brands of candy boasts “First it’s Candy,Then it’s Gum!”?",RAZZLES
"A winter time staple,red wine that has been warmed and flavored with spices is called what?",MULLED WINE,,"Sampling the soul classic “Try a Little Tenderness,” a 2011 song by rappers Jay-Z and Kanye West is named what?",OTIS,,"Introduced in 1977, KC Masterpiece is a leading brand of which of the following?",BARBECUE SAUCE
A woman traditionally waves a fan coyly across her body when performing which of these dances?,FLEMENCO,,San Francisco’s Ghirardelli Square is the longtime site of a factory that produces which of the following?,CHOCOLATE,,"Introduced in 1979, Croakies were designed to prevent people from losing what fashion accessory?",GLASSES
"A workplace faux pas if done accidentally,what email function sends an “email blast” to a large group?",REPLY ALL,,"Sanskrit for “moon craft,” the Chandraayan I was the first lunar orbiter ever launched by what country?",INDIA,,"Introduced in 1979,Croakies were designed to prevent people from losing what fashion accessory?",GLASSES
A year is approximately equal to how many fortnights?,26,,"Santa Domingo and Port-au-Prince,the capitals of two separate countries,are both located on what island?",HISPANIOLA,,"Introduced in 1982 and still popular today,the Nike “Air Force 1” is an iconic what?",BASKETBALL SHOE
"A young,attractive woman who is married to a rich middle-aged man is often described as a what?",TROPHY WIFE,,Sapparo is a major city of what Asian country?,JAPAN,,"Introduced in 1986, the Levi’s Dockers brands has become synonymous with what “casual day” staple?",KHAKI PANTS
A zester is a common kitchen tool designed to be used with which of these foods?,LEMON,,Sapporo is a major city of what Asian country?,JAPAN,,"Introduced in 1987,Viking is a popular high-end brand of which of these household items?",COOKING RANGES
A zester is a common kitchen tool designed to be used with which of these kitchen foods?,LEMON,,"Sarah Palin’s husband Todd is a four-time winner of the Iron Dog,the world’s longest what?",SNOWMOBILE RACE,,"Introduced in 1996,Reaction is a more casual and affordable clothing line belonging to what fashion label?",KENNETH COLE
A “Bogus” was an early nineteenth-century machine used to do what?,COUNTERFEIT MONEY,,"Sarah Silverman,Seth MacFarlane and Dwayne “The Rock” Johnson have all appeared on which of these TV franchises?",STAR TREK,,"Introduced in 2007,”Franklin the Fair Housing Fox” is a friendly mascot for what government agency?",HUD
A “cinephile” is a person who is a devoted and knowledgeable fan of what?,MOVIES,,Sargent Shriver is best remembered for his role in creating what organization,PEACE CORPS,,"Introduced in the 1950s,the ad slogan “It takes a licking and keeps on ticking” was used to sell what product?",WRISTWATCHES
A “face mask” is a common penalty in what sport?,FOOTBALL,,Sassybax is a woman’s brand that sells which of these items?,BRAS,,"Introduced in the 1980s, the Wacky WallWalker was a popular sticky toy in the shape of what animal?",OCTUPUS
A “potbelly” is an old-fashioned type of what household appliance?,STOVE,,"Scandalous at the time,what was the first ballroom dance to feature couples facing each other in a “closed hold” position?",WALTZ,,"Introduced in the late 1960s, antilock mechanisms are now a common feature of what car parts?",BRAKES
A “tox screen” is a medical test commonly used to examine the components of which of the following?,BLOOD,,Scholars and intellectuals are commonly said to reside in a tower made of what material?,IVORY,,"Introduced in the ’50s,the first Swanson frozen TV dinners were ready to eat in how many minutes?",25
"Able to rotate 360 degrees,SkyCity is a restaurant at the top of what U.S. landmark?",SPACE NEEDLE,,Scientific American claims that flowers will stay fresh longer when placed in water mixed with which of these drinks?,VODKA,,"Introduced to grocery stores in 1902,Karo is a classic brand of what?",CORN SYRUP
"Able to swim for miles on end, what animal has the scientific name “Ursus maratimus?”",POLAR BEAR,,"Sean Parker,the founding president of Facebook,also helped create what early Internet success?",NAPSTER,,"Invented by Colombian Beto Perez, Zumba is a trendy fitness program that combines aerobics with elements of what?",LATIN DANCE
"About 30 seconds long,”Think Music” is the name of the familiar theme heard during the final round of what game show?",JEOPARDY,,"Seen at sporting events near you,MetLife Insurance’s blimp has what call sign?",SNOOPY ONE,,Inventor Amos Bose is famous for developing a high-end variety of what?,STEREO SPEAKERS
"About sharecroppers in Georgia, what novel’s title is also a noun meaning “a poverty-stricken area”?",TOBACCO ROAD,,"Seen in many still life paintings,a ewer is a decorative type of what household object?",PITCHER,,"Involving a tremendous food fight, La Tomatina is a festival held annually in the Bunol village of what country?",SPAIN
"About “boys, drama, and best friends” in 2010 what reality star announced her upcoming novel, “A Shore Thing?”",NICOLE “SNOOKIE” POLIZZI,,"Seen in the 2012 Super Bowl halftime show,slacklining is an obscure version of what?",TIGHTROPE WALKING,,"In”Top Gun,” the characters Navy “call signs” include “Maverick,” “Goose,” and all but which of these?",NIGHTHAWK
"Accepting his first Oscar in 2012 at the age of 82,what actor said to his statue, “You’re only two years older than me!”?",CHRISTOPHER PLUMMER,,"Seen on certain notorious celebrities,a SCRAM bracelet alerts authorities when the wearer does what?",DRINKS ALCOHOL,,Iranian-born businessman Al Yeganeh was the inspiration behind what classic “Seinfeld” character?,THE SOUP NAZI
"According to a debunked urban legend, Avon’s original Skin So Soft was thought to be an effective what?",INSECT REPELLENT,,"Selling high-end cookware since 1972, the name of retail company Sur La Table in French means what?",ON THE TABLE,,"Ironically not the Charleston, what is the beach-friendly state dance of South Carolina?",SHAG
"According to 19th-century Romantic poet John Keats,what is “a joy for ever?”",A THING OF BEAUTY,,"Selling high-end cookware since 1972,the name of retail company Sur La Table is French for what?",ON THE TABLE,,"Ironically,the initials of the Miss America Organization form the name of a former leader of what Communist nation?",CHINA
"According to 2009 government statistics,what reality show features the most dangerous real-life profession?",THE DEADLIEST CATCH,,"Served on a poppy seed bun, a Chicago-style hot dog traditionally included all but which of these toppings?",KETCHUP,,Isaiah Mustafa plays “The Man Your Man Could Smell Like” in a surreal series of ads for what product?,OLD SPICE
"According to a 1974 Barry Manilow song, who “came and gave…without taking?”",MANDY,,"Set in an L.A. office building,the 1979 novel “Nothing Lasts Forever,” is the basis for what ’80s action film?",DIE HARD,,"Issued by the Internal Revenue Service,the dreaded Form 1040 is commonly known by what nickname?",THE LONG FORM
"According to a 2001 study at Sydney University, belly button lint is most likely what color?",BLUE,,"Set in France,what Disney animated film includes a quick cameo of Belle from “Beauty and the Beast”?",THE HUNCHBACK OF NOTRE DAME,,"Issued in 1787, the U.S. government’s first official coin was a penny featuring which of these mottos?",MIND YOUR BUSINESS
"According to a 2011 report by Forbes, what country counts 115 billionaires among its citizens, second only to the U.S.?",CHINA,,"Set in Hot Springs,Arkansas in 1959,”Billy Blythe” is a folk opera about which famous “Bill”?",BILL CLINTON,,"It is often said about what Hollywood legend that she did everything her partner did,only “backwards and in high heels”?",GINGER ROGERS
"According to a 2011 study on “the return trip effect,” trips home seem to be how much faster than trips out?",20%,,"Shakespeare’s “Romeo and Juliet” is set primarily in Verona,a city in what country?",ITALY,,Jazz legend Charlie Parker is best known for playing what instrument?,SAXOPHONE
"According to a 2012 report by Forbes,what country counts 96 billionaires among its citizens,second only to the U.S.?",RUSSIA,,Shaquille O ‘Neal and Robin Williams have both played which type of supernatural being on the big screen?,GENIE,,"Jeans get their name from the French word for what European city,where the first denim trousers were made?",GENOA
"According to a Benjamin Franklin quotation,nothing is “certain except” what “and taxes”?",DEATH,,"Sharing their name with a local river,Boston’s mass transit passes are officially called what?",CHARLIECARDS,,"Jeff Lewis,host of the reality series “Flipping Out,” has what main occupation?",REAL ESTATE INVESTOR
"According to a classic American railroad song, “Someone’s in the kitchen with Dina” doing what?",STRUMMIN ON THE OLD BANJO,,Shel Silverstein spent over 3 years on the bestseller lists with his 1981 book “A Light in the” what?,ATTIC,,Jeremy Piven’s character on TV’s “Entourage” is said to be modeled after what politician’s brother,RAMH
"According to a classic theme song, you’ll have a “yabba-dabba-doo time” watching what TV series?",THE FLINTSTONES,,Shel Silverstein spent over 3 years on the bestseller lists with his 1981 book “A Light in the” what?,ATTIC,,"Jim Carrey plays many roles, including Ebenezer Scrooge, in a 2009 adaptation of what classic story?",A Christmas Carol
"According to a classic tune from “Porgy and Bess,” “the living is easy” during what time?",SUMMERTIME,,Shirt sleeves that are fastened with cuff links instead of buttons have what kind of “cuffs”?,FRENCH,,"Joanna Kramer,Karen Silkwood,and Miranda Priestly are all characters portrayed by what film actress?",MERYL STREEP
"According to a common cliche,a person who objects strongly to doing something wouldn’t do it “for all the tea” where?",IN CHINA,,"Short for “post cibum,” doctors use the abbreviation “p.c” to indicate that a prescription should be taken how?",AFTER MEALS,,"Jodhpurs,a style of long pants worn by horseback riders,take their name from a city in what country?",INDIA
"According to a common idiom, extremely close friends are said to be “as thick as” what?",THIEVES,,"Short for “Unterseeboot,” a U-boat is a German what?",SUBMARINE,,John F. Kennedy’s Pulitzer Prize-winning account of eight great political leaders is titled “Profiles in” what?,COURAGE
"According to a common saying, “the hand that rocks the cradle is the hand that” does what?",RULES THE WORLD,,"Short Shorts, a 1958 hit by The Royal Teens, was the basis for what drugstore brand’s classic TV jingle?",NAIR,,John Lennon’s 1971 song “Imagine” asks listeners to imagine a world without all but which of these things?,POLITICS
"According to a common theory,which of these phrases originally referred to ready-mix concrete trucks?",THE WHOLE NINE YARDS,,"Shot in his hometown, Ben Affleck’s 2010 film “The Town” takes place in what U.S. city?",BOSTON,,John McCain’s wife Cindy is the chairman of the board of a company that sells what?,BEER
"According to a data-based book called “The Top Ten,” which Shakespeare play is one of the ten best books of all-time?",HAMLET,,Shredded cabbage is the main ingredient in which of these dishes?,COLESLAW,,Johnny Depp modeled his Pirates of the Caribbean character in large part after what musician?,KEITH RICHARDS
"According to a famous Albert Einstein quote, “God does not play” what with the universe?",DICE,,"Signed in 1992, NAFTA is a trade agreement among the U.S., Mexico and what third country?",CANADA,,"Jokingly called “Chicken Pizza” by visitors,Chichen Itza is a site of ancient Mayan ruins in what country?",MEXICO
"According to a famous poem by John Keats, “a thing of beauty is” what?",A JOY FOREVER,,"Signed into law by Bill Clinton in 2000, the federal legal limit for blood alcohol content while driving is what?",0.08,,"Jon Bon Jovi reportedly wrote “You Give Love A Bad Name” about what actress,whom he once dated briefly?",DIANE LANE
"According to a famous quote by designer Coco Chanel,you should do what just before leaving the house?",TAKE ONE THING OFF,,Silent film star Norma Talmadge started a Hollywood tradition after accidentally stepping in wet concrete outside what theater?,GRAUMAN’S CHINESE,,Jose Canesco’s book “Juiced” primarily addresses what controversial sports topic?,STEROID USE
"According to a famous quote from Confucius,”only the wisest and stupidest of men never” do what?",CHANGE,,"Silver amalgam,a combination of silver,mercury,copper and tin,is often used to make what?",CAVITY FILLINGS,,Journey’s classic rock anthem “Don’t Stop Believin'” features a “city boy” who is “born and raised” where?,IN SOUTH DETROIT
"According to a famous Yves Saint Laurent quote, “Fashions fade,” what “is eternal?”",STYLE,,Silver-studded outfits and wide-brimmed hats are commonly worn by what type of musical groups?,MARIACHI BANDS,,Jude Law claims he was named after both a Beatles song and the title character of a novel by whom?,THOMAS HARDY
"According to a George Carlin joke,what state is truly the “Garden State” only if you are talking about “growing smokestacks”?",NEW JERSEY,,"Since 1911,which of these states has proudly featured a “Butter Cow” at its annual State Fair?",IOWA,,Julia Roberts became the first actress to be paid $20 million for her role in what movie?,ERIN BROCKOVICH
"According to a key song from “The Sound of Music,” what musical note is “a long, long way to run”?",FAT,,"Since 1916, Nathan’s Hot Dog Eating Contest has been held annually at what iconic New York locale?",CONEY ISLAND,,"Just as George W.Bush and his dad are “43” and “41,” John Quincy Adams and his dad would have had what nicknames?",6 AND 2
"According to a Navy tradition, sailors become “shellbacks” after doing what for the first time?",CROSSING THE EQUATOR,,"Since 1925, what food has featured an image of a Native American woman on its packaging?",LAND O LAKES BUTTER,,Just for Men is a leading drugstore brand of what product?,HAIR COLOR
"According to a nerdy joke about chemical symbols, a female is made up of a male plus what element?",IRON,,"Since 1934, the Masters Golf tournament has been held in what U.S. city?","AUGUSTA, GA",,"Justitia,the Roman goddess of justice,is commonly depicted wearing which of these accessories?",BLINDFOLD
"According to a popular expression,what is “always 20/20”?",HINDSIGHT,,"Since 1935, Old Mr.Boston’s guide has been the official manual for professionals and amateurs in what field?",BARTENDING,,"K2,the world’s second highest mountain,lies in a region that is currently controlled by what country?",PAKISTAN
"According to a popular franchise’s slogan,”America Runs on” what?",DUNKIN’,,"Since 1946, what slogan has appeared on the cover of Highlights for Children magazine?",FUN WITH A PURPOSE,,Kahlua is a brand of liquor that has what distinct flavor?,COFFEE
"According to a popular legend, what pasta’s shape is modeled after a woman’s belly button?",TORTELLINI,,"Since 1950, the College World Series has been played annually in which Midwestern city?","OMAHA, NE",,Katy Perry has admitted that her hit single “I Kissed A Girl” was inspired by an imagined kiss with what Hollywood hottie?,SCARLETT JOHANSSON
"According to a popular seven-note tune, “a shave and a haircut” costs how much money?",TWO BITS,,"Since 1950,the World Cup’s men soccer championship has been played how often?",EVERY FOUR YEARS,,Katy Perry’s 2010 hit “California Gurls” borrows a lyric from a similarly titled 1965 song by what classic band?,THE BEACH BOYS
"According to a popular tradition, what should newlyweds do with the top tier of their wedding cake?",EAT IT IN A YEAR,,"Since 1951,what company has sponsored the popular “Hall of Fame” series of TV movies?",HALLMARK,,Kauai’s Mount Makana is better known as “Bali Ha’ “i” because a scene from what movie was filmed there?,SOUTH PACIFIC
"According to a TV Land sitcom starring Betty White,it is “Hot In” what U.S. city?",CLEVELAND,,"Since 1955, what has been the highest prize awarded at the Cannes Film Festival?",GOLDEN PALM,,"Keith Ellison, the first Muslim elected to the U.S. Congress, was sworn in on a Koran once owned by what U.S. president?",THOMAS JEFFERSON
According to a well-known children’s song “The bear went over the mountain” to do what?,SEE WHAT HE COULD SEE,,"Since 1963, “To protect and to serve” has been the official motto of which of these organizations?",LAPD,,Kenneth Lay and Jeffrey Skilling are both depicted in a 2010 musical about what scandalized corporation?,ENRON
"According to a well-known expression, a person who is “dressed to the nines” is wearing what?",FANCY CLOTHES,,"Since 1980,what award has honored the worst in Hollywood filmmaking?",GOLDEN RASPBERRY,,Kevin Bacon is married to the star of what TV series?,THE CLOSER
"According to a well-known nursery rhyme,”Wednesday’s child is full of” what?",WOE,,"Since 1985, what magazine has a regularly published “Sexiest Man Alive” issue?",PEOPLE,,Khaled Hosseini’s bestseller “The Kite Runner” is set primarily in what country?,AFGHANISTAN
"According to a well-known quote by historian Lord Acton,”Absolute power” does what “absolutely”?",CORRUPTS,,"Since 1988,the brand Acuvue has billed itself as introducing the world’s first disposable what?",CONTACT LENS,,Khaled Hosseini’s novels “The Kite Runner” and “A Thousand Splendid Suns” are both set primarily in what country?,AFGHANISTAN
"According to a well-known saying, “If you can remember” what decade,”then you weren’t really there”?",THE ’60S,,"Since 1990, over one-third of all shark attacks worldwide have occurred off the coast of what state?",FLORIDA,,Khaled Hosseni’s bestseller “The Kite Runner” is primarily set in what country?,AFGHANISTAN
"According to an old adage, one should “eat breakfast like a king, lunch like a prince, and dinner like a” what?",PAUPER,,"Since 1991,high school students have competed in a National Science Bowl sponsored by what U.S. department?",ENERGY,,Kid gloves are usually made from the hide of what animal?,GOAT
"According to an old expression, “Great oaks grow from little” what?",ACORNS,,"Since 1991,the Burning Man festival has been held in the late summer in what U.S. state?",NEVADA,,"Kiddingly referred to as the only food that is “made” backwards, Edam is a type of what?",CHEESE
"According to an old nautical expression, when facing a difficult time you should do what to the hatches?",BATTEN DOWN,,"Since 1996,the White Wave company has produced Silk,a popular brand of which of these health foods?",SOY MILK,,Kirkland Signature is the in-house brand of what chain of stores?,COSTCO
"According to an old saying,a secretive person plays his or her cards “close to the” what?",VEST,,"Since 1998, Fox has aired a morning show titled “Fox and” what?",FRIENDS,,"Known as a difficult area to stretch, your IT, or iliotibial band, is located where?",ALONG YOUR THIGH
"According to astronomers,what is the longest day of the year in the Northern Hemisphere?",SUMMER SOLSTICE,,"Since 1998,compilation CDs filled with pop music hits have been sold in the U.S. under what emphatic name?",NOW THAT’S WHAT I CALL MUSIC!,,"Known as the “High Priestess of Soul,” what singer is the subject of the 1992 autobiography “I Put a Spell on You”?",NINA SIMONE
"According to census data, the language most frequently spoken in U.S. homes, besides English, is what?",SPANISH,,"Since 2000, the logo for the online company MSN has featured a multicolored image of what animal?",BUTTERFLY,,"Known as “The Flying Lady,” the hood ornament on Rolls-Royces is officially called “The Spirit of” what?",ECSTASY
"According to company estimates, about 25% of Filet-O-Fish sandwiches are sold during what?",LENT,,"Since 2001,Apple has named the different versions of its popular MAC OS X operating system after various what?",BIG CATS SPECIES,,"Known as “The Happiest Place On Earth,” Disneyland is located in what California City?",ANAHEIM
"According to experts at Harvard Medical School,which of these activities burns the most calories in 30 minutes?",ROLLERBLADING,,"Since 2001,Gillette has offered a popular line of women’s razors named after what mythological figure?",VENUS,,"Known early in the series as “McDreamy,” Patrick Dempsey’s character on “Grey’s Anatomy” has what specialty?",NEUROSURGERY
"According to forklore, what legendary creature creates no reflection in a mirror?",VAMPIRE,,"Since 2002, what movie star has been a global spokesperson for cell phone provider T-Mobile?",ZETA JONES,,"Known for creating her signature look,who was the official designer for First Lady Jackie Kennedy?",OLEG CASSINI
"According to Greek myth,King Midas had the power to turn everything he touched into what?",GOLD,,"Since 2002,Carson Daly has hosted a very late night show with what apt name?",LAST CALL,,"Known for her cosmetics line,international supermodel Iman is the wife of what rock legend?",DAVID BOWIE
"According to his TV theme song,who was “born on a mountaintop in Tennessee”?",DAVY CROCKETT,,"Since 2003,Anderson Cooper has hosted a CNN news program with what numerical title?",ANDERSON COOPER 360,,"Known for her wiggle and high-pitched coo,actress Jackee played sexy neighbor Sandra Clark on what ’80s sitcom?",227 *CORRECT*
"According to its author, which of these books was written to promote kindness toward horses?",BLACK BEAUTY,,"Since 2003,the Heart Truth campaign has presented a NY fashion show in which celebrities don what color dresses?",RED,,"Known for his big mouth,Cartman from “South Park” has been described as a little version of what classic sitcom character?",ARCHIE BUNKER
"According to its commercial jingle, consumers are advised to use what amount of Daisy sour cream?",A DOLLOP,,"Since 2003,what company has employed the advertising slogan “Imagination at work”?",GENERAL ELECTRIC,,"Known for his unique batting stance, which of these Hall of Fame ball players was nicknamed “The Man”?",STANLEY FRANK MUSIAL
"According to its long-running tourism slogan,”Virginia Is For” whom?",LOVERS,,"Since 2004,the FDA has allowed the use of fly larvae,or maggots,for what medical purpose?",CLEANING OUT WOUNDS,,"Known for its bright colors,the gerbera is a type of what flower?",DAISY
"According to its mission statement,which of these universities was “founded in the fires of evangelism”?",ORAL ROBERTS UNIVERSITY,,"Since 2007,diminutive personality Chuy Bravo has starred as the sidekick to what late night talk show host?",CHELSEA HANDLER,,"Known for its distinctive bottle that resembles a friar, Frangelico is an Italian liquer with what flavor?",HAZELNUT
"According to its name,New York City’s MoMA specializes in what kind of art?",MODERN,,"Since 2008,what U.S. pro sport has held an annual outdoor game at the start of the year called the “Winter Classic”?",HOCKEY,,"Known for its memorable drum fill, what Phil Collins song does Steelers coach Mike Tomlin play to amp up his team?",IN THE AIR TONIGHT
"According to its purported inventor the Brown Derby,all but which of these ingredients are components of a Cobb salad?",HAM,,"Since 2008,”Mustang”,a 32-foot-tall sculpture of a blue horse,has stood beside the terminal of what city’s airport?",DENVER,,"Known for its movie-centric lineup,what TV channel features films “hosted” by historian Robert Osborne?",TCM
"According to its slogan, Snapple is “made from” what?",THE BEST STUFF ON EARTH,,"Since Greek times, valerian root has been used to treat what condition?",INSOMNIA,,"Known for its obsession with UFOs,what U.S. town has a McDonald’s restaurant shaped like a flying saucer?","ROSWELL, NM"
"According to legend, David Jacks of Monterey County, CA, was the first to market a now-famous type of what?",CHEESE,,"Since the 1920s,what sport has held an amateur tournament known as the “Golden Gloves”?",BOXING,,"Known for its signature square bottles, Essie is a leading maker of what beauty product?",NAIL POLISH
"According to legend, Swiss folk hero William Tell was an expert with what medieval weapon?",CROSSBOW,,"Since the mid 1970s, singer Tom Petty has performed with what musical band?",THE HEARTBREAKERS,,"Known for its spiciness,what Italian pasta sauce has a name that literally translates to “Brother Devil”?",FRA DIAVOLO
"According to legend, what did Mohammad Ali do with his 1969 Olympic gold medal?",TOSSED IT IN RIVER,,"Since the show premiered in 2002,”CSI:Miami” has used what song by The Who as its opening theme?",WON’T GET FOOLED AGAIN,,"Known for its spreadable cheese wedges,the French brand “La Vache Qui Rit” has what name in the U.S.?",THE LAUGHING COW
"According to legend, what frigid country was given a “warmer” name to trick people into settling there?",GREENLAND,,"Single Awareness Day, or SAD is often celebrated as a humorous alternative to what holiday?",VALENTINE’S DAY,,"Known for playing Arizona on “Grey’s Anatomy,” actress Jessica Capshaw has what famous stepdad?",STEVEN SPIELBERG
"According to legend,country club employee Buddy Mulligan inspired a term often used in what sport?",GOLF,,Sipping water through a straw is a very basic example of what scientific principle at work?,SUCTION,,"Known for the hit “Mr.Roboto,” the band Styx shares its name with a famous what in Greek mythology?",RIVER
"According to legend,the ghosts of Anne Boleyn and Sir Walter Raleigh haunt what London landmark?",TOWER OF LONDON,,"Site of the French Open,the tennis courts of Roland Garros feature clay surfaces of what color?",RED,,"Known for their classic fairy tale collections,the Brothers Grimm had what first names?",JACOB & WILHEIM
"According to Legend,what Looney Tunes character was born in a warren under the old Dodgers stadium in Brooklyn?",BUGS BUNNY,,Sixth-grader Harriet M. Welsch is the heroine of the classic children’s book “Harriet the” what?,SPY,,"Known simply as “Cojo,” TV personality Steven Cojocaru is an expert in what field?",FASHION
"According to McDonald’s, how many calories does its signature Big Mac sandwich have?",540,,"Slangily used to describe a curvaceous woman, the Yiddish word “zaftig” literally means what?",JUICY,,"Known to most Americans by his Anglicized name,Cristobal Colon was a famous what?",EXPLORER
"According to myth,what country’s capital was founded by the twins Romulus and Remus?",ITALY,,"Slated to open in 2013,the Louvre Abu Dhabi, like its Paris counterpart,will be an enormous what?",MUSEUM,,"Known to ruin the occasional reputation,Page Six is a famous gossip column in what U.S. newspaper?",NEW YORK POST
"According to official lore, whose birth was greeted by a double rainbow over sacred Mt Paektu?",KIM JONG II,,Some of the world’s oldest paintings are France’s Lascaux cave paintings which primarily depict what?,ANIMALS,,Kurt Cobain and Jimi Hendrix are a part of a “morbid” club of musicians that all died at what all-too-early age?,27
"According to reality star Mike”The Situation” Sorrentino,”The Situation” refers to what muscular body part?",HIS ABS,,Someone or something that is given up for the common good is often called the “sacrificial” what?,LAMB,,"La Petite Roche, a riverside rock formation once used for navigation, inspired the name of what state’s capital?",ARKANSAS
"According to superstition,where should you never put a hat?",ON A BED,,Someone who compliments you by saying they like “the cut of your jib” is using a phrase borrowed from what field?,SAILING,,Labels bearing the Latin phrase “Ex Libris” are traditionally used to identify the owners of what items?,BOOKS
"According to the 1993 book, “The Left-Hander Syndrome,” roughly what percentage of the world is left-handed?",10%,,Someone who fixes things using makeshift items is often jokingly compared to what popular TV character?,MACGYVER,,"Lacoste shirts feature an embedded logo of what animal,a nod to Rene Lacoste’s nickname on the tennis court?",CROCODILE
"According to the 2011 Forbes list, how many billionaires are there in the world?",1140,,Someone who has declared his candidacy for elected office is said to be “throwing his hat” where?,INTO THE RING,,"Later used by the British army for their famous coats,the Aztecs crushed up insects to create what color dye?",RED
"According to the actress, Nichelle Nichols only stayed on what TV series because Martin Luther King, Jr. told her to?",STAR TREK,,Someone who is being unrealistically optimistic is said to be “whistling” what song?,DIXIE,,Latin is the official language of which of these small European countries?,VATICAN CITY
